case_id,stl_path,stl_exists,target_wall_thickness_mm,wall_thickness_compliance_fraction,smoothing_volume_change_relative,status,stl_loadable,watertight,watertight_after_repair,non_manifold_edge_count,non_manifold_edge_count_after_repair,connected_component_count,mesh_volume_mm3,surface_area_mm2,bbox_x_mm,bbox_y_mm,bbox_z_mm,edge_length_min_mm,edge_length_median_mm,edge_length_mean_mm,estimated_minimum_feature_size_mm,repair_success,slicer_compatibility_proxy,slicer_proxy_notes
1000,outputs/phase_b_mesh_qc/case_outputs/1000/segmentation_repaired.stl,True,3.0,0.08801346194296704,-0.003074502281856823,ok,True,True,True,0,0,7,7061.877745376453,8224.396093198025,112.79999923706055,99.60000228881836,87.0000057220459,0.4242468053627785,0.5999984741210938,0.5892606762639843,0.4242468053627785,True,True,loadable STL and repaired mesh has no non-manifold edges
751,outputs/phase_b_mesh_qc/case_outputs/751/segmentation_repaired.stl,True,3.0,0.05835338859672579,-0.0032812164871658302,ok,True,True,True,0,0,9,7127.406889052359,8857.118933107466,123.0,112.79999923706055,97.80000448226929,0.4242468053627785,0.5999984741210938,0.5905223380046853,0.4242468053627785,True,True,loadable STL and repaired mesh has no non-manifold edges
752,outputs/phase_b_mesh_qc/case_outputs/752/segmentation_repaired.stl,True,3.0,0.05011926986102468,-0.0031448699922990223,ok,True,True,True,0,0,5,8168.365340835855,10278.858010226306,106.20000076293945,88.20000839233398,103.20000648498535,0.4242468053627785,0.5999984741210938,0.5910894245493626,0.4242468053627785,True,True,loadable STL and repaired mesh has no non-manifold edges
753,outputs/phase_b_mesh_qc/case_outputs/753/segmentation_repaired.stl,True,3.0,0.053799007685572525,-0.0030007682012085377,ok,True,True,True,0,0,5,4353.471440737384,5405.133074298907,107.40000534057617,94.80000305175781,78.60000419616699,0.424252200193688,0.5999984741210938,0.5904866939835768,0.424252200193688,True,True,loadable STL and repaired mesh has no non-manifold edges
754,outputs/phase_b_mesh_qc/case_outputs/754/segmentation_repaired.stl,True,3.0,0.09985840469287303,-0.0028597623502280697,ok,True,True,True,0,0,6,6298.497947193292,7171.468752293324,91.20000457763672,85.80000686645508,112.80000591278076,0.42425759495599724,0.5999984741210938,0.5893352448573509,0.42425759495599724,True,True,loadable STL and repaired mesh has no non-manifold edges
755,outputs/phase_b_mesh_qc/case_outputs/755/segmentation_repaired.stl,True,3.0,0.06097053726169844,-0.0032643518794636586,ok,True,True,True,0,0,8,6111.325001103338,7540.713048146113,100.20000076293945,84.60000610351562,90.60000228881836,0.424252200193688,0.5999984741210938,0.5903751936464935,0.424252200193688,True,True,loadable STL and repaired mesh has no non-manifold edges
756,outputs/phase_b_mesh_qc/case_outputs/756/segmentation_repaired.stl,True,3.0,0.05898600252797154,-0.0031735247312300436,ok,True,True,True,0,0,7,4522.545450897675,5597.840942618425,103.20000839233398,86.4000015258789,80.4000015258789,0.424252200193688,0.5999984741210938,0.5894393087751285,0.424252200193688,True,True,loadable STL and repaired mesh has no non-manifold edges
757,outputs/phase_b_mesh_qc/case_outputs/757/segmentation_repaired.stl,True,3.0,0.0908707746775689,-0.0025948056860853282,ok,True,True,True,0,0,6,7557.102885222809,8607.090901455736,133.20000457763672,115.20000076293945,97.80000114440918,0.4242468053627785,0.5999984741210938,0.5890116248520335,0.4242468053627785,True,True,loadable STL and repaired mesh has no non-manifold edges
758,outputs/phase_b_mesh_qc/case_outputs/758/segmentation_repaired.stl,True,3.0,0.04991641721416631,-0.0033728598208028174,ok,True,True,True,0,0,4,5444.199803721937,6880.599359176414,110.40000534057617,87.00000762939453,115.80000448226929,0.424252200193688,0.5999984741210938,0.5906022505373423,0.424252200193688,True,True,loadable STL and repaired mesh has no non-manifold edges
759,outputs/phase_b_mesh_qc/case_outputs/759/segmentation_repaired.stl,True,3.0,0.05013292821876187,-0.0038527667388133947,ok,True,True,True,0,0,8,3896.181707113566,4963.250994269935,93.00000190734863,76.80001068115234,82.80000495910645,0.42425759495599724,0.5999984741210938,0.5882642431874301,0.42425759495599724,True,True,loadable STL and repaired mesh has no non-manifold edges
760,outputs/phase_b_mesh_qc/case_outputs/760/segmentation_repaired.stl,True,3.0,0.0898233118750856,-0.0030682297560847413,ok,True,True,True,0,0,10,7740.694171051691,9073.078600588713,117.60000610351562,85.79999923706055,93.00000381469727,0.424252200193688,0.5999984741210938,0.590320413525136,0.424252200193688,True,True,loadable STL and repaired mesh has no non-manifold edges
761,outputs/phase_b_mesh_qc/case_outputs/761/segmentation_repaired.stl,True,3.0,0.07161283665256424,-0.002815081561979451,ok,True,True,True,0,0,6,8224.975299436423,9801.354930090129,105.00000190734863,102.00000381469727,84.00000190734863,0.4242468053627785,0.5999984741210938,0.5912738050811024,0.4242468053627785,True,True,loadable STL and repaired mesh has no non-manifold edges
