metric,mean,std,median,min,max
bbox_x_mm,123.32160434341431,22.238022907028363,116.10000610351562,78.00000762939453,207.3000030517578
bbox_y_mm,101.43840425109863,16.81449393595437,98.40000534057617,63.00000762939453,163.2000026702881
bbox_z_mm,92.00280410051346,11.676804030602861,90.00000381469727,61.80000114440918,135.3000030517578
case_id,875.5,72.31297716638879,875.5,751.0,1000.0
connected_component_count,10.152,5.39902713235483,9.0,2.0,39.0
edge_length_mean_mm,0.59046234784143,0.001184508266505704,0.590474046443157,0.5872254604892162,0.5933260893673992
edge_length_median_mm,0.5999984741210938,0.0,0.5999984741210938,0.5999984741210938,0.5999984741210938
edge_length_min_mm,0.4242489740824374,3.0358148427947325e-06,0.4242468053627785,0.4242468053627785,0.42425759495599724
estimated_minimum_feature_size_mm,0.4242489740824374,3.0358148427947325e-06,0.4242468053627785,0.4242468053627785,0.42425759495599724
mesh_volume_mm3,7027.217780421703,2179.142227609624,6877.391182352492,-9678.637385619424,13113.226838637222
non_manifold_edge_count,3.312,14.264521101284684,0.0,0.0,142.0
non_manifold_edge_count_after_repair,3.312,14.264521101284684,0.0,0.0,142.0
smoothing_volume_change_relative,-0.00301031394349864,0.0005348527023884622,-0.0030200515596018186,-0.005168311108382871,-0.002025169347049249
surface_area_mm2,8274.75198652316,1911.6002668594565,8098.47593553155,2190.2697754845553,14055.363859723146
target_wall_thickness_mm,3.0,0.0,3.0,3.0,3.0
wall_thickness_compliance_fraction,0.08765015549904216,0.02954994883549103,0.08256902903414065,0.03434354309091888,0.20310209796329112
