case_id,repaired_stl,mesh_qc_status,watertight,non_manifold_edge_count
820,outputs/phase_b_mesh_qc/case_outputs/820/segmentation_repaired.stl,ok,True,0
821,outputs/phase_b_mesh_qc/case_outputs/821/segmentation_repaired.stl,ok,False,6
822,outputs/phase_b_mesh_qc/case_outputs/822/segmentation_repaired.stl,ok,True,0
823,outputs/phase_b_mesh_qc/case_outputs/823/segmentation_repaired.stl,ok,True,0
824,outputs/phase_b_mesh_qc/case_outputs/824/segmentation_repaired.stl,ok,True,0
825,outputs/phase_b_mesh_qc/case_outputs/825/segmentation_repaired.stl,ok,True,0
826,outputs/phase_b_mesh_qc/case_outputs/826/segmentation_repaired.stl,ok,True,0
827,outputs/phase_b_mesh_qc/case_outputs/827/segmentation_repaired.stl,ok,True,0
828,outputs/phase_b_mesh_qc/case_outputs/828/segmentation_repaired.stl,ok,True,0
829,outputs/phase_b_mesh_qc/case_outputs/829/segmentation_repaired.stl,ok,True,0
830,outputs/phase_b_mesh_qc/case_outputs/830/segmentation_repaired.stl,ok,True,0
831,outputs/phase_b_mesh_qc/case_outputs/831/segmentation_repaired.stl,ok,True,0
832,outputs/phase_b_mesh_qc/case_outputs/832/segmentation_repaired.stl,ok,True,0
833,outputs/phase_b_mesh_qc/case_outputs/833/segmentation_repaired.stl,ok,True,0
834,outputs/phase_b_mesh_qc/case_outputs/834/segmentation_repaired.stl,ok,True,0
835,outputs/phase_b_mesh_qc/case_outputs/835/segmentation_repaired.stl,ok,True,0
836,outputs/phase_b_mesh_qc/case_outputs/836/segmentation_repaired.stl,ok,True,0
837,outputs/phase_b_mesh_qc/case_outputs/837/segmentation_repaired.stl,ok,True,0
838,outputs/phase_b_mesh_qc/case_outputs/838/segmentation_repaired.stl,ok,True,0
839,outputs/phase_b_mesh_qc/case_outputs/839/segmentation_repaired.stl,ok,True,0
840,outputs/phase_b_mesh_qc/case_outputs/840/segmentation_repaired.stl,ok,True,0
841,outputs/phase_b_mesh_qc/case_outputs/841/segmentation_repaired.stl,ok,True,0
842,outputs/phase_b_mesh_qc/case_outputs/842/segmentation_repaired.stl,ok,True,0
843,outputs/phase_b_mesh_qc/case_outputs/843/segmentation_repaired.stl,ok,True,0
844,outputs/phase_b_mesh_qc/case_outputs/844/segmentation_repaired.stl,ok,True,0
845,outputs/phase_b_mesh_qc/case_outputs/845/segmentation_repaired.stl,ok,False,10
