metric,mean,std,median,min,max
bbox_x_mm,123.32160490036011,22.23802354864027,116.1000046133995,78.00000309944153,207.3000082373619
bbox_y_mm,101.43840403079986,16.814494244133737,98.4000039100647,63.00000250339508,163.20000648498535
bbox_z_mm,92.0028036558628,11.676804099087875,90.00000357627869,61.800002455711365,135.30000537633896
case_id,875.5,72.31297716638879,875.5,751.0,1000.0
connected_component_count,10.152,5.39902713235483,9.0,2.0,39.0
edge_length_mean_mm,0.5904623456619127,0.0011845093900257244,0.5904740400791284,0.587225439905117,0.5933260996053271
edge_length_median_mm,0.6000000238418579,0.0,0.6000000238418579,0.6000000238418579,0.6000000238418579
edge_length_min_mm,0.4242640855706679,0.0,0.4242640855706679,0.4242640855706679,0.4242640855706679
non_manifold_edge_count,3.312,14.264521101284684,0.0,0.0,142.0
smoothing_volume_change_relative,-0.00301031394349864,0.0005348527023884622,-0.0030200515596018186,-0.005168311108382871,-0.002025169347049249
surface_area_mm2,8274.751928070964,1911.6002813598445,8098.4754412383445,2190.269541540114,14055.363705402586
surface_roughness_post_max,3.139607196006561,0.001587453662101789,3.1399103911983888,3.132127741354983,3.141592653589793
surface_roughness_post_mean,0.5284800519437955,0.017324297612698134,0.5280053800553182,0.4658404908188969,0.5667800507363283
surface_roughness_pre_max,3.1415926535897936,4.449800617180046e-16,3.141592653589793,3.141592653589793,3.141592653589793
surface_roughness_pre_mean,0.5833862604313377,0.014120456306198252,0.5828923725256523,0.5381908305333813,0.6196200823080463
target_wall_thickness_mm,3.0,0.0,3.0,3.0,3.0
volume_mm3,7027.217732446409,2179.1422308263336,6877.391319848868,-9678.637153783362,13113.226563218295
wall_thickness_compliance_fraction,0.08765015549904216,0.02954994883549103,0.08256902903414065,0.03434354309091888,0.20310209796329112
