case_id,mask_path,status,target_wall_thickness_mm,connected_component_count,watertight,non_manifold_edge_count,surface_area_mm2,volume_mm3,bbox_x_mm,bbox_y_mm,bbox_z_mm,edge_length_min_mm,edge_length_median_mm,edge_length_mean_mm,raw_stl,repaired_stl,smoothed_stl,repair_success,surface_roughness_pre_mean,surface_roughness_pre_max,surface_roughness_post_mean,surface_roughness_post_max,smoothing_volume_change_relative,wall_thickness_compliance_fraction,slicer_compatibility_proxy
760,outputs/final_test_250_phaseb_traceable_v14/case_outputs/760/seg_mask_0.5.nii.gz,ok,3.0,10,True,0,9073.078470945751,7740.693922762551,117.60000467300415,85.80000340938568,93.00000369548798,0.4242640855706679,0.6000000238418579,0.5903204053482762,outputs/phase_b_mesh_qc/case_outputs/760/segmentation_raw.stl,outputs/phase_b_mesh_qc/case_outputs/760/segmentation_repaired.stl,outputs/phase_b_mesh_qc/case_outputs/760/segmentation_smoothed.stl,True,0.5713943089262099,3.141592653589793,0.5191297235252874,3.139631606672826,-0.003068229756084506,0.0898233118750856,True
761,outputs/final_test_250_phaseb_traceable_v14/case_outputs/761/seg_mask_0.5.nii.gz,ok,3.0,6,True,0,9801.354654282737,8224.974980493347,105.00000417232513,102.00000405311584,84.00000333786011,0.4242640855706679,0.6000000238418579,0.5912737950167407,outputs/phase_b_mesh_qc/case_outputs/761/segmentation_raw.stl,outputs/phase_b_mesh_qc/case_outputs/761/segmentation_repaired.stl,outputs/phase_b_mesh_qc/case_outputs/761/segmentation_smoothed.stl,True,0.5971373865934769,3.141592653589793,0.5412861648464254,3.1398635451763397,-0.002815081561979672,0.07161283665256424,True
762,outputs/final_test_250_phaseb_traceable_v14/case_outputs/762/seg_mask_0.5.nii.gz,ok,3.0,12,True,0,10011.637346490661,8374.527998321453,121.80000483989716,109.80000436306,103.20000410079956,0.4242640855706679,0.6000000238418579,0.5902125034025376,outputs/phase_b_mesh_qc/case_outputs/762/segmentation_raw.stl,outputs/phase_b_mesh_qc/case_outputs/762/segmentation_repaired.stl,outputs/phase_b_mesh_qc/case_outputs/762/segmentation_smoothed.stl,True,0.578132964050683,3.141592653589793,0.5289564675422155,3.1381437583848015,-0.0030722072626868818,0.073266474193385,True
763,outputs/final_test_250_phaseb_traceable_v14/case_outputs/763/seg_mask_0.5.nii.gz,ok,3.0,11,True,0,10087.556862622872,8912.42206244342,112.80000448226929,110.40000438690186,93.00000369548798,0.4242640855706679,0.6000000238418579,0.5911725320168004,outputs/phase_b_mesh_qc/case_outputs/763/segmentation_raw.stl,outputs/phase_b_mesh_qc/case_outputs/763/segmentation_repaired.stl,outputs/phase_b_mesh_qc/case_outputs/763/segmentation_smoothed.stl,True,0.5792089499189624,3.141592653589793,0.518893964481868,3.1409251602272086,-0.002684881350987923,0.0983462015060528,True
764,outputs/final_test_250_phaseb_traceable_v14/case_outputs/764/seg_mask_0.5.nii.gz,ok,3.0,5,True,0,12592.962719914025,11685.241392989214,114.60000455379486,105.00000417232513,86.40000343322754,0.4242640855706679,0.6000000238418579,0.5920171547798693,outputs/phase_b_mesh_qc/case_outputs/764/segmentation_raw.stl,outputs/phase_b_mesh_qc/case_outputs/764/segmentation_repaired.stl,outputs/phase_b_mesh_qc/case_outputs/764/segmentation_smoothed.stl,True,0.6006518769333169,3.141592653589793,0.5472957292797008,3.1404066576757144,-0.002107760840245258,0.12004734158776402,True
765,outputs/final_test_250_phaseb_traceable_v14/case_outputs/765/seg_mask_0.5.nii.gz,ok,3.0,3,True,0,7503.919561320986,5857.79469830349,104.40000414848328,98.4000039100647,89.40000355243683,0.4242640855706679,0.6000000238418579,0.5884057817559882,outputs/phase_b_mesh_qc/case_outputs/765/segmentation_raw.stl,outputs/phase_b_mesh_qc/case_outputs/765/segmentation_repaired.stl,outputs/phase_b_mesh_qc/case_outputs/765/segmentation_smoothed.stl,True,0.5702215559699758,3.141592653589793,0.523346059731766,3.1408133501435707,-0.003391888776559424,0.04409693380042616,True
766,outputs/final_test_250_phaseb_traceable_v14/case_outputs/766/seg_mask_0.5.nii.gz,ok,3.0,9,True,0,14055.363705402586,12892.36653688973,151.2000060081482,110.40000438690186,100.80000400543213,0.4242640855706679,0.6000000238418579,0.5915756327320301,outputs/phase_b_mesh_qc/case_outputs/766/segmentation_raw.stl,outputs/phase_b_mesh_qc/case_outputs/766/segmentation_repaired.stl,outputs/phase_b_mesh_qc/case_outputs/766/segmentation_smoothed.stl,True,0.6003609330410519,3.141592653589793,0.5485768158040383,3.1409254272369544,-0.0022776987411583277,0.1150159217277962,True
767,outputs/final_test_250_phaseb_traceable_v14/case_outputs/767/seg_mask_0.5.nii.gz,ok,3.0,14,False,24,6308.7632395770215,not_watertight,139.50000554323196,84.60000336170197,93.3000037074089,0.4242640855706679,0.6000000238418579,0.5912324459921584,outputs/phase_b_mesh_qc/case_outputs/767/segmentation_raw.stl,outputs/phase_b_mesh_qc/case_outputs/767/segmentation_repaired.stl,outputs/phase_b_mesh_qc/case_outputs/767/segmentation_smoothed.stl,True,0.5897326687485975,3.141592653589793,0.5339233044251946,3.140383671395381,not_watertight,0.04677244077374484,False
768,outputs/final_test_250_phaseb_traceable_v14/case_outputs/768/seg_mask_0.5.nii.gz,ok,3.0,15,False,28,7483.863626742814,not_watertight,145.50000578165054,116.40000462532043,99.00000393390656,0.4242640855706679,0.6000000238418579,0.5929061965711246,outputs/phase_b_mesh_qc/case_outputs/768/segmentation_raw.stl,outputs/phase_b_mesh_qc/case_outputs/768/segmentation_repaired.stl,outputs/phase_b_mesh_qc/case_outputs/768/segmentation_smoothed.stl,True,0.6110424433128471,3.141592653589793,0.5657587464411324,3.1399131902631185,not_watertight,0.09281702630801064,False
769,outputs/final_test_250_phaseb_traceable_v14/case_outputs/769/seg_mask_0.5.nii.gz,ok,3.0,7,False,142,9641.612204669907,not_watertight,114.60000455379486,96.00000381469727,83.70000332593918,0.4242640855706679,0.6000000238418579,0.5917200028577272,outputs/phase_b_mesh_qc/case_outputs/769/segmentation_raw.stl,outputs/phase_b_mesh_qc/case_outputs/769/segmentation_repaired.stl,outputs/phase_b_mesh_qc/case_outputs/769/segmentation_smoothed.stl,True,0.5784770798926825,3.141592653589793,0.517333891018179,3.1404338858929393,not_watertight,0.09516907005223302,False
